Location,Pixel_val,Coord_val
343,"(6, 43)","(-12.93477221898036, 7.3520166700028735)"
344,"(6, 44)","(-12.93477221898036, 7.290438891732474)"
345,"(6, 45)","(-12.93477221898036, 7.228861113462074)"
346,"(6, 46)","(-12.93477221898036, 7.167283335191673)"
347,"(6, 47)","(-12.93477221898036, 7.105705556921274)"
348,"(6, 48)","(-12.93477221898036, 7.044127778650873)"
349,"(6, 49)","(-12.93477221898036, 6.982550000380474)"
350,"(7, 0)","(-12.874155551828759, 9.999861135630074)"
351,"(7, 1)","(-12.874155551828759, 9.938283357359673)"
352,"(7, 2)","(-12.874155551828759, 9.876705579089274)"
353,"(7, 3)","(-12.874155551828759, 9.815127800818873)"
354,"(7, 4)","(-12.874155551828759, 9.753550022548474)"
355,"(7, 5)","(-12.874155551828759, 9.691972244278073)"
356,"(7, 6)","(-12.874155551828759, 9.630394466007674)"
357,"(7, 7)","(-12.874155551828759, 9.568816687737273)"
358,"(7, 8)","(-12.874155551828759, 9.507238909466874)"
359,"(7, 9)","(-12.874155551828759, 9.445661131196474)"
360,"(7, 10)","(-12.874155551828759, 9.384083352926073)"
361,"(7, 11)","(-12.874155551828759, 9.322505574655674)"
362,"(7, 12)","(-12.874155551828759, 9.260927796385273)"
363,"(7, 13)","(-12.874155551828759, 9.199350018114874)"
364,"(7, 14)","(-12.874155551828759, 9.137772239844473)"
365,"(7, 15)","(-12.874155551828759, 9.076194461574074)"
366,"(7, 16)","(-12.874155551828759, 9.014616683303673)"
367,"(7, 17)","(-12.874155551828759, 8.953038905033274)"
368,"(7, 18)","(-12.874155551828759, 8.891461126762874)"
369,"(7, 19)","(-12.874155551828759, 8.829883348492473)"
370,"(7, 20)","(-12.874155551828759, 8.768305570222074)"
371,"(7, 21)","(-12.874155551828759, 8.706727791951673)"
372,"(7, 22)","(-12.874155551828759, 8.645150013681274)"
373,"(7, 23)","(-12.874155551828759, 8.583572235410873)"
374,"(7, 24)","(-12.874155551828759, 8.521994457140474)"
375,"(7, 25)","(-12.874155551828759, 8.460416678870073)"
376,"(7, 26)","(-12.874155551828759, 8.398838900599674)"
377,"(7, 27)","(-12.874155551828759, 8.337261122329274)"
378,"(7, 28)","(-12.874155551828759, 8.275683344058873)"
379,"(7, 29)","(-12.874155551828759, 8.214105565788474)"
380,"(7, 30)","(-12.874155551828759, 8.152527787518073)"
381,"(7, 31)","(-12.874155551828759, 8.090950009247674)"
382,"(7, 32)","(-12.874155551828759, 8.029372230977273)"
383,"(7, 33)","(-12.874155551828759, 7.967794452706873)"
384,"(7, 34)","(-12.874155551828759, 7.9062166744364735)"
385,"(7, 35)","(-12.874155551828759, 7.844638896166074)"
386,"(7, 36)","(-12.874155551828759, 7.783061117895674)"
387,"(7, 37)","(-12.874155551828759, 7.721483339625273)"
388,"(7, 38)","(-12.874155551828759, 7.659905561354874)"
389,"(7, 39)","(-12.874155551828759, 7.598327783084473)"
390,"(7, 40)","(-12.874155551828759, 7.536750004814074)"
391,"(7, 41)","(-12.874155551828759, 7.475172226543673)"
392,"(7, 42)","(-12.874155551828759, 7.413594448273273)"
393,"(7, 43)","(-12.874155551828759, 7.3520166700028735)"
394,"(7, 44)","(-12.874155551828759, 7.290438891732474)"
395,"(7, 45)","(-12.874155551828759, 7.228861113462074)"
396,"(7, 46)","(-12.874155551828759, 7.167283335191673)"
397,"(7, 47)","(-12.874155551828759, 7.105705556921274)"
398,"(7, 48)","(-12.874155551828759, 7.044127778650873)"
399,"(7, 49)","(-12.874155551828759, 6.982550000380474)"
400,"(8, 0)","(-12.81353888467716, 9.999861135630074)"
401,"(8, 1)","(-12.81353888467716, 9.938283357359673)"
402,"(8, 2)","(-12.81353888467716, 9.876705579089274)"
403,"(8, 3)","(-12.81353888467716, 9.815127800818873)"
404,"(8, 4)","(-12.81353888467716, 9.753550022548474)"
405,"(8, 5)","(-12.81353888467716, 9.691972244278073)"
406,"(8, 6)","(-12.81353888467716, 9.630394466007674)"
407,"(8, 7)","(-12.81353888467716, 9.568816687737273)"
408,"(8, 8)","(-12.81353888467716, 9.507238909466874)"
409,"(8, 9)","(-12.81353888467716, 9.445661131196474)"
410,"(8, 10)","(-12.81353888467716, 9.384083352926073)"
411,"(8, 11)","(-12.81353888467716, 9.322505574655674)"
412,"(8, 12)","(-12.81353888467716, 9.260927796385273)"
413,"(8, 13)","(-12.81353888467716, 9.199350018114874)"
414,"(8, 14)","(-12.81353888467716, 9.137772239844473)"
415,"(8, 15)","(-12.81353888467716, 9.076194461574074)"
416,"(8, 16)","(-12.81353888467716, 9.014616683303673)"
417,"(8, 17)","(-12.81353888467716, 8.953038905033274)"
418,"(8, 18)","(-12.81353888467716, 8.891461126762874)"
419,"(8, 19)","(-12.81353888467716, 8.829883348492473)"
420,"(8, 20)","(-12.81353888467716, 8.768305570222074)"
421,"(8, 21)","(-12.81353888467716, 8.706727791951673)"
422,"(8, 22)","(-12.81353888467716, 8.645150013681274)"
423,"(8, 23)","(-12.81353888467716, 8.583572235410873)"
424,"(8, 24)","(-12.81353888467716, 8.521994457140474)"
425,"(8, 25)","(-12.81353888467716, 8.460416678870073)"
426,"(8, 26)","(-12.81353888467716, 8.398838900599674)"
427,"(8, 27)","(-12.81353888467716, 8.337261122329274)"
428,"(8, 28)","(-12.81353888467716, 8.275683344058873)"
429,"(8, 29)","(-12.81353888467716, 8.214105565788474)"
430,"(8, 30)","(-12.81353888467716, 8.152527787518073)"
431,"(8, 31)","(-12.81353888467716, 8.090950009247674)"
432,"(8, 32)","(-12.81353888467716, 8.029372230977273)"
433,"(8, 33)","(-12.81353888467716, 7.967794452706873)"
434,"(8, 34)","(-12.81353888467716, 7.9062166744364735)"
435,"(8, 35)","(-12.81353888467716, 7.844638896166074)"
436,"(8, 36)","(-12.81353888467716, 7.783061117895674)"
437,"(8, 37)","(-12.81353888467716, 7.721483339625273)"
438,"(8, 38)","(-12.81353888467716, 7.659905561354874)"
439,"(8, 39)","(-12.81353888467716, 7.598327783084473)"
440,"(8, 40)","(-12.81353888467716, 7.536750004814074)"
441,"(8, 41)","(-12.81353888467716, 7.475172226543673)"
442,"(8, 42)","(-12.81353888467716, 7.413594448273273)"
443,"(8, 43)","(-12.81353888467716, 7.3520166700028735)"
444,"(8, 44)","(-12.81353888467716, 7.290438891732474)"
445,"(8, 45)","(-12.81353888467716, 7.228861113462074)"
446,"(8, 46)","(-12.81353888467716, 7.167283335191673)"
447,"(8, 47)","(-12.81353888467716, 7.105705556921274)"
