Column1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
14,0,0,0.000252504,0,0.000272297,0.009763488,0.054372528,0.008017002,0.008353674,0.013782414,0.006438852,0.003030048,0.0010521,0.001110134,0.00347193,0.007848666,0.005723424,0.010015992,0.011310796,0.007806582,0.004965912,0.00441882,0.010410121,0.00199899,0.002503998,0.002756502,0.002188368,0.001549998,0.001914822,0.00378756,0.004334652,0.006199992,0.00557613,0.007827624,0.003450888,6.31E-05,0.002115538,0.003093174,0.003976938,0.00168336,0.002681077,0.001767528,0.00073647,0,0,0,0,0,0,0
15,0.012456864,0.00862722,0.005176332,0.004061106,0.008629718,0.006985944,0.031436748,0.008795556,0.008122212,0.006095262,0.0052605,0.005218416,0.001977948,0.002576348,0.008353674,0.002251494,0.003598182,0.00326151,0.008483097,0.003766518,0.0042084,0.004986954,0.004901345,0.004019022,0.003345678,0.033625116,0.00263025,0.001382431,0.006712398,0.013277502,0.00410319,0.00707972,0.001515024,0.004271526,0.003093174,0.0021042,0.003874995,0.010352664,0.002966922,0.001977948,0.002241213,0.00136773,0.001641276,0.008248464,0.002062116,0,0,0,0,0
16,0.006607188,0.006165306,0.00610218,0.027691272,0.013049307,0.03777039,0.010015992,0.00988974,0.00704907,0.004587156,0.007217406,0.007343658,0.00589176,0.004419589,0.002966922,0.006649272,0.002440872,0.002756502,0.003770265,0.007953876,0.004397778,0.0073647,0.006011478,0.00473445,0.002777544,0.010142244,0.01104705,0.003477022,0.001830654,0.002819628,0.004376736,0.006639856,0.00568134,0.005092164,0.00441882,0.002651292,0.00307905,0.002546082,0.004061106,0.00157815,0.003288509,0.001872738,0.002020032,0.004776534,0.002482956,0,0,0,0,0
17,0.00410319,0.004439862,0.023272452,0.021063042,0.029072934,0.013319586,0.010352664,0.013929804,0.006691356,0.005676344,0.010226412,0.012688326,0.008227422,0.005927695,0.003598182,0.00378756,0.003345678,0.002503998,0.003874995,0.009405774,0.02167326,0.017443818,0.006681748,0.00336672,0.006123222,0.003535056,0.00462924,0.003267563,0.00178857,0.001304604,0.001914822,0.001717565,0.00757512,0.004650282,0.00347193,0.002272536,0.0061581,0.00441882,0.005323626,0.004145274,0.001968916,0.001809612,0.002398788,0.003934854,0.002482956,0,0,0,0,0
18,0.000167567,0.002806753,0.009823635,0.019626325,0.019828611,0.011143228,0.006995936,0.008964853,0.005906749,0.008194158,0.007561476,0.008922961,0.009488501,0.005170868,0.004293913,0.003749319,0.004189184,0.001508106,0.002856488,0.018160111,0.251518579,0.013321604,0.004878964,0.003518914,0.009991203,0.006032424,0.00092162,0.00227268,0.002241213,0.002366889,0.002576348,0.003461146,0.004649994,0.003791211,0.000774999,0.007582422,0.002710536,0.003141888,0.005299317,0.00502702,0.002647985,0.001340539,0.002220267,0.004231075,0.002722969,0,0,0,0,0
19,0.004334652,0.02041074,0.019863648,0.01704402,0.007624314,0.005513004,0.005113206,0.00652302,0.00589176,0.007561476,0.00662823,0.008290548,0.007511994,0.006912153,0.006060096,0.00505008,0.003114216,0.005071122,0.003330401,0.008395758,0.01767528,0.006649272,0.005571614,0.003598182,0.003093174,0.00757512,0.002188368,0.001633782,0.00147294,0.003009006,0.001809612,0.002848645,0.008690346,0.00147294,0.001977948,0.004061106,0.005969587,0.004292568,0.004881744,0.006354684,0.002806753,0.0042084,0.004082148,0.00336672,0.003766518,0.000293243,0,0,0,0
20,0.002083158,0.01178352,0.011951856,0.006291558,0.008608772,0.003282552,0.005849676,0.006712398,0.074762225,0.005068912,0.00462924,0.006165306,0.007427826,0.018977001,0.009321606,0.003535056,0.003429846,0.00284067,0.003456076,0.003198384,0.009595152,0.01104705,0.017657409,0.008500968,0.0084168,0.003030048,0.001304604,0.00113108,0.000357714,0.004019022,0.003535056,0.00364459,0.006018012,0.00294588,0.002861712,0.002062116,0.010452013,0.013635216,0.007596162,0.006060096,0.005676344,0.004923828,0.00999495,0.002756502,0.003240468,0.002136484,0,0,0,0
21,0.008879724,0.017948826,0.014224392,0.01525545,0.007456747,0.011173302,0.005134248,0.006586146,0.007932834,0.002827699,0.020600118,0.012120192,0.094878377,0.017070923,0.002230452,0.003808602,0.003114216,0.008669304,0.007100666,0.00725949,0.005744466,0.012036024,0.06562356,0.007133238,0.003976938,0.00199899,0.000505008,0.001382431,0.004040064,0.00168336,0.002903796,0.004252021,0.00378756,0.00820638,0.019085094,0.004671324,0.006116208,0.01883259,0.01209915,0.003429846,0.006241883,0.005007996,0.003850686,0.003030048,0.002188368,0.004754723,0.002251494,0,0,0
22,0.002178375,0.113422144,0.017154707,0.001382431,0.004795563,0.003456076,0.010452013,0.005822965,0.006137154,0.00458706,0.003749319,0.003916887,0.005969587,0.007693751,0.005990532,0.00456621,0.007938503,0.007016882,0.003481996,0.002932428,0.006933099,0.006325667,0.004837264,0.02088308,0.007666206,0.003351347,0.004189184,0.005879777,0.00364459,0.003309455,0.024799966,0.006129981,0.002890537,0.005445939,0.005843911,0.010179716,0.012364213,0.05603033,0.243747644,0.014096603,0.010842143,0.007268233,0.011268904,0.006639856,0.005906749,0.007089093,0.002743915,0,0,0
23,0,0.047702214,0.04187358,0.013803552,0.010975661,0.003955896,0.003976938,0.00620739,0.009805572,0.011960119,0.005029038,0.0052605,0.004082148,0.005508776,0.006354684,0.002356704,0.00347193,0.002609208,0.003623644,0.003219426,0.002819628,0.00515529,0.009802689,0.004355694,0.008332632,0.001851696,0.00568134,0.003288509,0.003114216,0.0031563,0.004460904,0.00764526,0.006985944,0.007596162,0.002924838,0.005281542,0.013614846,0.01304604,0.007006986,0.008816598,0.005152696,0.003492972,0.009174312,0.008585136,0.006859692,0,0,0,0,0
