1,2,3,4,5,Cluster_List
10,0.1,0.006,2.994982617,10,"[1138, 1250, 1251, 1252, 1300, 1302, 1353, 1354, 1675, 1784]"
10,0.25,0.006,2.994982617,10,"[1138, 1250, 1251, 1252, 1300, 1302, 1353, 1354, 1675, 1784]"
10,0.5,0.006,2.994982617,10,"[1138, 1250, 1251, 1252, 1300, 1302, 1353, 1354, 1675, 1784]"
10,0.75,0.006,2.658534129,10,"[1101, 1138, 1250, 1251, 1252, 1300, 1302, 1734, 1735, 1784]"
10,1,0.006,1.470042244,10,"[1137, 1138, 1298, 1444, 1448, 1592, 1690, 1734, 1735, 1784]"
20,0.1,0.006,4.302121397,20,"[1101, 1138, 1200, 1250, 1251, 1252, 1298, 1300, 1302, 1303, 1353, 1354, 1444, 1448, 1675, 1676, 1690, 1734, 1735, 1784]"
20,0.25,0.006,4.302121397,20,"[1101, 1138, 1200, 1250, 1251, 1252, 1298, 1300, 1302, 1303, 1353, 1354, 1444, 1448, 1675, 1676, 1690, 1734, 1735, 1784]"
20,0.5,0.006,4.302121397,20,"[1101, 1138, 1200, 1250, 1251, 1252, 1298, 1300, 1302, 1303, 1353, 1354, 1444, 1448, 1675, 1676, 1690, 1734, 1735, 1784]"
20,0.75,0.006,3.779803336,20,"[1101, 1137, 1138, 1200, 1201, 1250, 1251, 1252, 1298, 1300, 1302, 1444, 1448, 1592, 1676, 1690, 1734, 1735, 1784, 2481]"
20,1,0.006,2.440426667,20,"[1137, 1138, 1298, 1299, 1347, 1348, 1398, 1444, 1445, 1447, 1448, 1496, 1592, 1593, 1690, 1734, 1735, 1784, 1785, 2481]"
25,0.1,0.006,4.831090789,25,"[1008, 1062, 1101, 1137, 1138, 1200, 1201, 1250, 1251, 1252, 1298, 1300, 1302, 1303, 1353, 1354, 1444, 1448, 1592, 1675, 1676, 1690, 1734, 1735, 1784]"
25,0.25,0.006,4.831090789,25,"[1008, 1062, 1101, 1137, 1138, 1200, 1201, 1250, 1251, 1252, 1298, 1300, 1302, 1303, 1353, 1354, 1444, 1448, 1592, 1675, 1676, 1690, 1734, 1735, 1784]"
25,0.5,0.006,4.821178805,25,"[1008, 1101, 1137, 1138, 1200, 1201, 1250, 1251, 1252, 1298, 1300, 1302, 1303, 1353, 1354, 1444, 1448, 1592, 1675, 1676, 1690, 1734, 1735, 1784, 2481]"
25,0.75,0.006,4.270745513,25,"[1101, 1137, 1138, 1200, 1201, 1250, 1251, 1252, 1298, 1299, 1300, 1302, 1347, 1398, 1444, 1448, 1496, 1592, 1676, 1690, 1734, 1735, 1784, 1785, 2481]"
25,1,0.006,2.907002577,25,"[1137, 1138, 1298, 1299, 1347, 1348, 1397, 1398, 1444, 1445, 1447, 1448, 1496, 1540, 1592, 1593, 1644, 1690, 1693, 1734, 1735, 1784, 1785, 2232, 2481]"
50,0.1,0.006,7.199807612,50,"[706, 1008, 1062, 1101, 1137, 1138, 1151, 1200, 1201, 1250, 1251, 1252, 1298, 1299, 1300, 1302, 1303, 1347, 1348, 1353, 1354, 1397, 1398, 1444, 1445, 1446, 1447, 1448, 1487, 1496, 1540, 1545, 1592, 1593, 1644, 1675, 1676, 1690, 1692, 1693, 1734, 1735, 1741, 1743, 1784, 1785, 1816, 2176, 2232, 2481]"
50,0.25,0.006,7.199807612,50,"[706, 1008, 1062, 1101, 1137, 1138, 1151, 1200, 1201, 1250, 1251, 1252, 1298, 1299, 1300, 1302, 1303, 1347, 1348, 1353, 1354, 1397, 1398, 1444, 1445, 1446, 1447, 1448, 1487, 1496, 1540, 1545, 1592, 1593, 1644, 1675, 1676, 1690, 1692, 1693, 1734, 1735, 1741, 1743, 1784, 1785, 1816, 2176, 2232, 2481]"
50,0.5,0.006,7.180476476,50,"[706, 1008, 1101, 1137, 1138, 1151, 1200, 1201, 1250, 1251, 1252, 1298, 1299, 1300, 1302, 1303, 1347, 1348, 1353, 1354, 1397, 1398, 1444, 1445, 1446, 1447, 1448, 1487, 1496, 1540, 1545, 1592, 1593, 1644, 1675, 1676, 1688, 1690, 1692, 1693, 1734, 1735, 1741, 1743, 1784, 1785, 1816, 2176, 2232, 2481]"
50,0.75,0.006,6.573679543,50,"[706, 1101, 1137, 1138, 1151, 1200, 1201, 1250, 1251, 1252, 1298, 1299, 1300, 1302, 1347, 1348, 1397, 1398, 1444, 1445, 1446, 1447, 1448, 1486, 1487, 1496, 1540, 1545, 1592, 1593, 1643, 1644, 1676, 1688, 1690, 1692, 1693, 1734, 1735, 1741, 1743, 1784, 1785, 1791, 1985, 2176, 2232, 2431, 2478, 2481]"
50,1,0.006,5.12029781,50,"[1137, 1138, 1298, 1299, 1347, 1348, 1397, 1398, 1443, 1444, 1445, 1446, 1447, 1448, 1486, 1487, 1493, 1494, 1496, 1540, 1542, 1545, 1591, 1592, 1593, 1641, 1642, 1643, 1644, 1688, 1690, 1691, 1692, 1693, 1734, 1735, 1740, 1741, 1743, 1784, 1785, 1791, 1936, 1985, 2176, 2232, 2281, 2431, 2478, 2481]"
